type,dp(Z),dp(V),zeta
abiatar,0,0.000333555703803,-0.000333555703803
abîme,0.008454106280193,0.047698465643763,-0.039244359363569
abîmé,0.000402576489533,0.000667111407605,-0.000264534918072
abîmée,0.000402576489533,0,0.000402576489533
abîmer,0.007648953301127,0.015677118078719,-0.008028164777592
abîmes,0,0.000667111407605,-0.000667111407605
abincerages,0,0.000333555703803,-0.000333555703803
abincerrage,0,0.000667111407605,-0.000667111407605
abiron,0,0.000333555703803,-0.000333555703803
abisaï,0,0.000333555703803,-0.000333555703803
abject,0.002818035426731,0.009006004002668,-0.006187968575937
abjection,0.000402576489533,0,0.000402576489533
abjuration,0,0.000333555703803,-0.000333555703803
abjurer,0.005233494363929,0.013008672448299,-0.00777517808437
ablatif,0.000402576489533,0,0.000402576489533
abner,0,0.005670446964643,-0.005670446964643
aboi,0,0.000333555703803,-0.000333555703803
aboi|abois,0.004428341384863,0.009006004002668,-0.004577662617805
abolir,0.001207729468599,0.007004669779853,-0.005796940311254
abominable,0.010466988727858,0.013008672448299,-0.002541683720441
abomination,0.001610305958132,0.000333555703803,0.001276750254329
abondamment,0.000805152979066,0.001667778519013,-0.000862625539947
abondance,0.011674718196457,0.004669779853236,0.007004938343222
abondant,0.001207729468599,0.000333555703803,0.000874173764796
abonder,0.010064412238325,0.004336224149433,0.005728188088892
abonner,0.000805152979066,0,0.000805152979066
abord,0.052334943639292,0.037024683122081,0.01531026051721
abordable,0.000402576489533,0,0.000402576489533
abordage,0.002012882447665,0,0.002012882447665
aborder,0.031803542673108,0.023015343562375,0.008788199110733
abordez-le,0.000805152979066,0.000333555703803,0.000471597275263
aboucher,0.001610305958132,0,0.001610305958132
aboutir,0.003623188405797,0.000667111407605,0.002956076998192
aboutira-t-il,0.000805152979066,0.000333555703803,0.000471597275263
aboutirait-il,0.000805152979066,0,0.000805152979066
aboutissants,0.000402576489533,0,0.000402576489533
aboyer,0.00402576489533,0,0.00402576489533
abra,0,0.00133422281521,-0.00133422281521
abraham,0.005636070853462,0.002334889926618,0.003301180926844
abrége,0.000402576489533,0,0.000402576489533
abrégé,0.004830917874396,0.000667111407605,0.004163806466791
abrège,0.001207729468599,0,0.001207729468599
abrègent,0.000402576489533,0,0.000402576489533
abrégeons,0.000805152979066,0.000667111407605,0.000138041571461
abréger,0.01207729468599,0.008005336891261,0.004071957794729
abrégera,0,0.000333555703803,-0.000333555703803
abrégez,0.001610305958132,0,0.001610305958132
abreuver,0.000805152979066,0.011007338225484,-0.010202185246418
abreuvoir,0.000402576489533,0,0.000402576489533
abri,0,0.000333555703803,-0.000333555703803
abri,0.014090177133655,0.02101400933956,-0.006923832205904
abrutir,0,0.000333555703803,-0.000333555703803
absalon,0,0.004336224149433,-0.004336224149433
absence,0.064412238325282,0.056037358238826,0.008374880086456
absent,0.027777777777778,0.015010006671114,0.012767771106664
absenter,0.003623188405797,0.002334889926618,0.001288298479179
absinthe,0.000805152979066,0,0.000805152979066
absit,0.000402576489533,0,0.000402576489533
absolu,0.026570048309179,0.074716477651768,-0.048146429342589
absolumenmt,0.000402576489533,0,0.000402576489533
absolument,0.047504025764895,0.009339559706471,0.038164466058424
absorber,0.001610305958132,0.001000667111408,0.000609638846724
absorbeur,0.000402576489533,0,0.000402576489533
absoudre,0.002415458937198,0.019012675116745,-0.016597216179547
abstenez-voudserire,0.000402576489533,0,0.000402576489533
abstenir,0.002415458937198,0.000667111407605,0.001748347529593
abstersive,0.000402576489533,0,0.000402576489533
abstinence,0.002818035426731,0.000333555703803,0.002484479722928
abstractif,0.000402576489533,0,0.000402576489533
abstraction,0.000402576489533,0,0.000402576489533
abstractives,0.000805152979066,0,0.000805152979066
abstrait,0.000402576489533,0,0.000402576489533
absurde,0.002012882447665,0.000667111407605,0.00134577104006
absurdité,0.002012882447665,0,0.002012882447665
abus,0.022544283413849,0.024683122081388,-0.002138838667539
abusât,0,0.000333555703803,-0.000333555703803
abuse,0,0.000667111407605,-0.000667111407605
abuse-t,0,0.000333555703803,-0.000333555703803
abuse-t-il,0,0.000667111407605,-0.000667111407605
abuser,0.109500805152979,0.158438959306204,-0.048938154153225
abuseur,0,0.000333555703803,-0.000333555703803
abyde,0.000402576489533,0,0.000402576489533
abyme|abîme,0.000402576489533,0.001667778519013,-0.00126520202948
acabit,0.000805152979066,0,0.000805152979066
académicien,0.000402576489533,0,0.000402576489533
académie,0.007246376811594,0,0.007246376811594
académies,0.000402576489533,0,0.000402576489533
académique,0.000402576489533,0,0.000402576489533
académiques,0.000402576489533,0,0.000402576489533
académiste,0.000402576489533,0,0.000402576489533
acante,0.004830917874396,0,0.004830917874396
acanthe,0.005636070853462,0,0.005636070853462
acariâtre,0.002012882447665,0,0.002012882447665
acaste,0.002012882447665,0.001667778519013,0.000345103928652
acbitophel,0,0.000667111407605,-0.000667111407605
accablant,0.001610305958132,0.00400266844563,-0.002392362487498
accable,0,0.001667778519013,-0.001667778519013
accablé,0.001207729468599,0.010340226817879,-0.00913249734928
accable-t-il,0,0.000333555703803,-0.000333555703803
accablée,0.000402576489533,0.000667111407605,-0.000264534918072
accablement,0.001610305958132,0.007004669779853,-0.005394363821721
accabler,0.074476650563607,0.255503669112742,-0.181027018549135
accablés,0,0.001000667111408,-0.001000667111408
accablez-le,0,0.000667111407605,-0.000667111407605
accablez-nous,0,0.000333555703803,-0.000333555703803
accède,0.000402576489533,0,0.000402576489533
accéder,0.000805152979066,0,0.000805152979066
accélérer,0,0.000333555703803,-0.000333555703803
